,Major_category,Rank,Total,Men,Women,ShareWomen,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,Low_wage_jobs
0,Agriculture & Natural Resources,993,75620.0,40357.0,35263.0,0.4663184342766464,63794,55585,15470,41891,3486,0.046098915630785504,316000,222000,410100,7414
1,Arts,1049,357130.0,134390.0,222740.0,0.623694453000308,288114,207773,114791,153111,28228,0.07904124548483746,264500,175700,349300,60116
2,Biology & Life Science,1335,453862.0,184919.0,268943.0,0.5925655816085066,302797,240377,116736,165802,22854,0.05035451304581569,509900,372600,645200,42742
3,Business,726,1302376.0,667852.0,634524.0,0.48720492392365955,1088742,988870,196936,790425,79877,0.06133175058508449,566000,435000,713000,126788
4,Communications & Journalism,416,392601.0,131921.0,260680.0,0.6639820071777708,330660,273330,89817,214228,26852,0.06839513908522903,138000,105000,179900,49595
5,Computers & Mathematics,627,299008.0,208725.0,90283.0,0.3019417540667808,237894,207545,53270,159156,18373,0.061446516481164386,470200,322200,639000,16136
6,Education,2086,559129.0,103526.0,455603.0,0.8148441593979207,479839,398059,120593,288031,24969,0.04465695751785366,517600,425450,617000,40870
7,Engineering,656,537583.0,408307.0,129276.0,0.24047635434900286,420372,381867,85136,288952,29817,0.05546492355599043,1664100,1205100,2043000,25079
8,Health,1158,463230.0,75517.0,387713.0,0.8369773114867345,372147,294819,114592,228418,22213,0.04795242104354208,441900,314000,603000,31270
9,Humanities & Liberal Arts,2026,713468.0,272846.0,440622.0,0.6175778030689534,544118,416939,214030,295561,51101,0.07162339446198007,478700,352400,631100,94240
10,Industrial Arts & Consumer Services,736,229792.0,103781.0,126011.0,0.5483698301072274,189043,151383,61122,114179,11526,0.05015840412198858,254400,187400,316000,26590
11,Interdisciplinary,110,12296.0,2817.0,9479.0,0.7709011060507482,9821,8032,3173,6234,749,0.06091411841249187,35000,25000,44000,1061
12,Law & Public Policy,323,179107.0,91129.0,87978.0,0.4912035822162171,144790,126940,38213,100454,13495,0.07534602221018721,211000,163200,275000,20720
13,Physical Sciences,676,185479.0,95390.0,90089.0,0.4857099725575402,139231,112852,43444,85635,7880,0.04248459394324964,418900,283500,572900,14078
14,Psychology & Social Work,1287,481007.0,98115.0,382892.0,0.7960216795181775,380344,289000,137992,218105,33292,0.06921312995444973,270900,228000,349000,56246
15,Social Science,825,529966.0,256834.0,273132.0,0.5153764581124072,401493,347141,121569,255219,42975,0.08109010766728432,336100,255200,451000,54180
